Time,O2,C3H8,H2O,CO2
0,0.219,0.06,0,0
0.2,0.13293,0.03633,0.038733,0.071011
0.4,0.095502,0.026038,0.055574,0.10189
0.6,0.074571,0.020282,0.064993,0.11915
0.8,0.061181,0.0166,0.071019,0.1302
1,0.051887,0.014044,0.075201,0.13787
1.2,0.045044,0.012162,0.07828,0.14351
1.4,0.039817,0.010725,0.080632,0.14783
1.6,0.035679,0.0095867,0.082495,0.15124
1.8,0.032318,0.0086624,0.084007,0.15401
2,0.029541,0.0078987,0.085257,0.1563
2.2,0.027216,0.0072595,0.086303,0.15822
2.4,0.025234,0.0067144,0.087195,0.15986
2.6,0.023517,0.0062423,0.087967,0.16127
2.8,0.022022,0.005831,0.08864,0.16251
3,0.020709,0.0054699,0.089231,0.16359
3.2,0.019546,0.0051502,0.089754,0.16455
3.4,0.018511,0.0048657,0.09022,0.1654
3.6,0.017582,0.00461,0.090638,0.16617
3.8,0.016743,0.0043793,0.091016,0.16686
4,0.01598,0.0041694,0.091359,0.16749
4.2,0.015286,0.0039786,0.091671,0.16806
4.4,0.014649,0.0038035,0.091958,0.16859
4.6,0.014065,0.0036429,0.092221,0.16907
4.8,0.013526,0.0034946,0.092463,0.16952
5,0.013028,0.0033577,0.092687,0.16993
