z+_Eaton,u+_Eaton,z+_Lund,u+_Lund,z+_Rai,u+_Rai,z+_Spalart,u+_Spalart,z+_Wu,u+_Wu
1.00085,1.00221,1.0182,1.018,1.01934,0.942316,1.98492,2.00347,1.00095,1.02162
2.15654,2.3942,1.99612,2.02543,2.96796,2.9482,3.03674,2.82954,1.60937,1.55422
3.93636,3.98903,2.98688,2.97924,3.95647,3.89383,4.04815,3.77517,2.55898,2.56779
5.21935,5.25442,4.02998,3.87276,4.92297,4.78075,4.97941,4.60294,4.16581,4.00161
7.57084,6.98622,5.13417,4.88459,5.98651,5.66785,6.05432,5.19383,6.40358,5.97731
10.9818,8.71802,6.54151,6.0152,6.95304,6.55531,6.87235,6.14071,10.9311,8.67233
13.4875,10.0513,8.05213,7.14553,8.1682,7.26496,7.98212,7.08741,16.0412,10.5286
17.8875,11.584,10.2617,8.57313,9.06013,7.91581,9.05791,7.38264,24.9452,12.5041
35.2775,14.0463,13.2281,9.94143,9.93607,8.86296,10.0467,7.97425,38.3217,13.8188
59.6145,15.1077,15.3728,11.0119,12.8004,10.4013,15.3784,9.9259,55.5496,14.894
83.1555,15.9047,19.814,12.202,16.3009,11.7619,17.2542,10.5174,94.7032,16.2069
126.871,16.9676,24.9521,13.0949,20.0541,12.9452,19.8063,10.8718,152.412,17.7611
196.046,17.9635,30.0079,13.8687,30.6908,14.4821,29.972,12.8828,201.409,18.8981
450.485,19.8891,36.5002,14.4643,40.4434,15.3094,39.4952,13.6508,260.026,19.8552
678.625,21.019,47.5692,15.1199,50.3135,15.7816,49.7066,14.3599,418.315,20.9887
1132.36,22.2142,58.5245,15.5969,61.1697,16.1948,59.7453,14.8916,664.626,21.161
1705.44,23.0769,73.6805,16.1334,71.8406,16.312,70.9915,15.4235,985.038,21.2142
2536.95,24.4074,96.0025,16.4921,81.5274,16.7257,80.5594,15.7187,NaN,NaN
3870.87,25.5372,116.773,17.0877,92.5127,16.9617,91.4193,16.0731,NaN,NaN
6061.41,27.1342,150.425,17.5651,101.424,17.1979,101.38,16.2501,NaN,NaN
9497.54,29.4662,187.217,18.1016,127.623,17.4923,202.071,18.0812,NaN,NaN
13585.4,29.7951,217.469,18.578,162.47,18.1421,309.274,19.7959,NaN,NaN
19427.2,29.7899,267.577,19.1738,202.104,18.4366,402.955,20.9194,NaN,NaN
NaN,NaN,373.81,20.4834,295.376,19.6778,507.18,21.8062,NaN,NaN
NaN,NaN,470.767,21.4357,402.823,20.2085,609.643,22.4565,NaN,NaN
NaN,NaN,572.673,22.1501,512.744,20.5621,707.8,22.5145,NaN,NaN
NaN,NaN,712.606,22.449,602.208,20.7385,911.197,22.5126,NaN,NaN
NaN,NaN,1266.18,22.6321,691.186,20.7967,1022.09,22.5709,NaN,NaN
NaN,NaN,1611.76,22.67,811.762,20.9139,1082.45,22.5112,NaN,NaN
NaN,NaN,NaN,NaN,889.857,20.9132,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,998.097,20.8531,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1241.48,20.9699,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1673.3,20.9083,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,2010.75,20.9069,NaN,NaN,NaN,NaN
