z_Eaton,up_up_Eaton,z_Lund,up_up_Lund,z_Rai,up_up_Rai,z_Spalart,up_up_Spalart,z_Wu,up_up_Wu
0.00222222,9.5691297,0.000706676,0.003321494,0.00718198,3.2504124,0.00526831,2.0289438,0.0029,0.30713764
0.00444444,6.5980702,0.00346978,1.3178581,0.0090499,4.4629098,0.0123054,4.0377285,0.0088,3.779136
0.0733333,5.36334,0.00840945,4.1446038,0.0108492,5.3778074,0.0128391,7.9083001,0.0147,7.9907982
0.108889,4.9003198,0.0109676,7.1526828,0.0127019,6.7899331,0.0277063,7.154769,0.0294,9.8740493
0.166667,4.2443701,0.0270798,10.166341,0.0145088,7.9731123,0.0524162,5.4884307,0.0455,7.8910428
0.255556,3.54984,0.0472837,7.4048206,0.0162471,8.634077,0.0755861,4.8141187,0.0632,6.5305803
0.395556,2.9324799,0.0766037,5.510052,0.0163157,9.2513306,0.100441,4.325984,0.0867,5.2180265
0.602222,2.23794,0.108263,4.5338333,0.0197314,10.107821,0.150196,3.6875521,0.119,4.3393056
0.926667,0.88745999,0.151278,3.7728012,0.0247328,10.254789,0.20002,3.4741605,0.1337,4.1229302
NaN,NaN,0.221536,3.2478528,0.0329746,9.6053506,0.253138,3.1036574,0.1792,3.5732341
NaN,NaN,0.278218,3.0271824,0.0476816,7.4043308,0.299653,2.9866752,0.2174,3.28117
NaN,NaN,0.330336,2.6090649,0.0607037,5.3291723,0.351101,2.6066425,0.2482,3.0930257
NaN,NaN,0.382496,2.5094045,0.0886921,3.6391667,0.40091,2.3568083,0.2967,2.8213921
NaN,NaN,0.43009,2.2220374,0.103597,3.3403776,0.450734,2.1868494,0.3481,2.5619204
NaN,NaN,0.484504,2.0401837,0.120165,3.0544902,0.502174,1.8323142,0.3951,2.3688288
NaN,NaN,0.541173,1.7819313,0.135093,2.8972125,0.550321,1.6237895,0.4348,2.2090877
NaN,NaN,0.609169,1.4647777,0.148359,2.7440254,0.600076,1.2425115,0.5053,1.9068848
NaN,NaN,0.652213,1.1786793,0.208155,2.5609921,0.649885,1.0719703,0.5567,1.6496834
NaN,NaN,0.702062,0.9236344,0.294453,1.979649,0.702995,0.84951799,0.6286,1.2690023
NaN,NaN,0.758709,0.67383084,0.440586,1.4758362,0.751073,0.54630724,0.6918,0.93837969
NaN,NaN,0.813081,0.44236998,0.58835,0.95422029,0.807538,0.45077527,0.7667,0.58844241
NaN,NaN,0.856145,0.34483555,0.73443,0.496185,0.82746,0.40624689,0.8343,0.36072036
NaN,NaN,0.919598,0.19984476,0.88718,0.21762038,0.84572,0.36399502,0.9062,0.2401
NaN,NaN,0.98081,0.13627837,0.983504,0.1250754,0.868951,0.29858028,0.9944,0.19864849
NaN,NaN,1.06924,0.084842291,NaN,NaN,0.885548,0.26249023,1.081,0.17799961
NaN,NaN,1.13954,0.059803724,NaN,NaN,NaN,NaN,1.1633,0.17598025
NaN,NaN,1.20531,0.045537853,NaN,NaN,NaN,NaN,1.1868,0.17455684
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2,0.17926756
