0.15	0.00E+00	0.00E+00	4.97E+01
0.2	1.29E+02	1.06E+02	9.20E+01
0.25	2.30E+02	1.96E+02	1.20E+02
0.3	3.22E+02	1.95E+02	1.25E+02
0.4	4.35E+02	2.02E+02	9.80E+01
0.5	4.57E+02	1.68E+02	8.15E+01
0.7	3.80E+02	1.27E+02	6.02E+01
1	2.70E+02	7.92E+01	3.94E+01
1.5	1.68E+02	4.78E+01	2.41E+01
2	1.20E+02	3.46E+01	1.65E+01
2.5	8.90E+01	2.86E+01	1.25E+01
3	7.03E+01	2.31E+01	9.12E+00
4	4.70E+01	1.43E+01	5.62E+00
6	2.47E+01	5.95E+00	1.69E+00
8	1.26E+01	2.23E+00	5.20E-01
10	7.42E+00	9.00E-01	1.61E-01
12.5	3.96E+00	3.63E-01	5.20E-02
15	2.33E+00	1.62E-01	1.41E-02
17.5	1.34E+00	6.60E-02	0.01E-03
20	8.00E-01	3.30E-02	0.01E-03
