"Dataplot Line Number","Verification Group","Case Name","Type of Metric","Expected Metric","Predicted Metric","Dependent Variable","Type of Error","Error","Error Tolerance","Within Specified Error Tolerance","Plot Filename"
2,"Controls","activate_vents","end",1,1,"Control Index","Relative Error","0.00e+00","0.00e+00","Yes","FDS_User_Guide/SCRIPT_FIGURES/activate_vents_ctrl"
2,"Controls","activate_vents","end",1,1,"Control Index","Relative Error","0.00e+00","0.00e+00","Yes","FDS_User_Guide/SCRIPT_FIGURES/activate_vents_ctrl"
2,"Controls","activate_vents","end",1,1,"Control Index","Relative Error","0.00e+00","0.00e+00","Yes","FDS_User_Guide/SCRIPT_FIGURES/activate_vents_ctrl"
3,"Detectors","aspiration_detector","end",45.7,46.2982,"Obscuration (%/m)","Relative Error","1.31e-02","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/aspiration_detector"
4,"Heat Transfer","back_wall_test","end",9.3273,9.3273,"Heat Flux (kW/m^2)","Relative Error","3.59e-06","5.00e-03","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/back_wall_test_flux"
5,"Heat Transfer","back_wall_test","end",370.7292,370.7292,"Temperature (\circC)","Relative Error","0.00e+00","5.00e-03","Yes","FDS_Verification_Guide/SCRIPT_FIGURES/back_wall_test_temp"
6,"Fires","box_burn_away1","end",1.28,1.2774,"Mass (kg)","Relative Error","1.99e-03","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/box_burn_away1"
7,"Fires","box_burn_away2","end",1.28,1.2736,"Mass (kg)","Relative Error","4.96e-03","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/box_burn_away2"
8,"Fires","box_burn_away3","end",1.28,1.2821,"Mass (kg)","Relative Error","1.63e-03","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/box_burn_away3"
9,"Fires","box_burn_away4","end",0.96,0.96228,"Mass (kg)","Relative Error","2.37e-03","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/box_burn_away4"
10,"Fires","box_burn_away_2D","end",1.28,1.2769,"Mass (kg)","Relative Error","2.43e-03","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/box_burn_away_2D"
10,"Fires","box_burn_away_2D","end",1e-12,1e-12,"Mass (kg)","Relative Error","0.00e+00","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/box_burn_away_2D"
11,"Fires","box_burn_away_2D_residue","end",0.64,0.63943,"Mass (kg)","Relative Error","8.97e-04","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/box_burn_away_2D_residue"
11,"Fires","box_burn_away_2D_residue","end",1e-12,1e-12,"Mass (kg)","Relative Error","0.00e+00","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/box_burn_away_2D_residue"
12,"Sprinklers and Sprays","bucket_test_1","end",90,88.8051,"Mass (kg)","Relative Error","1.33e-02","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/bucket_test_1"
13,"Sprinklers and Sprays","bucket_test_2","end",5,4.9822,"Mass (kg)","Relative Error","3.55e-03","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/bucket_test_2"
14,"Sprinklers and Sprays","bucket_test_3","end",0.008,0.0079841,"Mass (kg)","Relative Error","1.99e-03","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/bucket_test_3"
15,"Sprinklers and Sprays","bucket_test_4","end",0.0275,0.027032,"Mass (kg)","Relative Error","1.70e-02","2.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/bucket_test_4"
16,"Sprinklers and Sprays","bucket_test_4","mean",0.0005,0.00050643,"Mass Flux (kg/s)","Relative Error","1.29e-02","5.00e-02","Yes","FDS_User_Guide/SCRIPT_FIGURES/bucket_test_4b"
