z, f_1, f_2
0.062500, 0.001935, 0.000000
0.187500, 0.002469, 0.000000
0.312500, 0.003130, 0.000000
0.437500, 0.003943, 0.000000
0.562500, 0.004937, 0.000000
0.687500, 0.006143, 0.000000
0.812500, 0.007597, 0.000000
0.937500, 0.009335, 0.000000
1.062500, 0.011400, 0.000000
1.187500, 0.013835, 0.000000
1.312500, 0.016686, 0.000000
1.437500, 0.019999, 0.000000
1.562500, 0.023820, 0.000000
1.687500, 0.028194, 0.000000
1.812500, 0.033165, 0.000000
1.937500, 0.038768, 0.000000
2.062500, 0.045037, 0.000000
2.187500, 0.051993, 0.000000
2.312500, 0.059650, 0.000000
2.437500, 0.068009, 0.000002
2.562500, 0.077056, 0.000006
2.687500, 0.086763, 0.000018
2.812500, 0.097085, 0.000056
2.937500, 0.107959, 0.000162
3.062500, 0.119303, 0.000440
3.187500, 0.131019, 0.001124
3.312500, 0.142989, 0.002694
3.437500, 0.155081, 0.006067
3.562500, 0.167149, 0.012835
3.687500, 0.179035, 0.025511
3.812500, 0.190572, 0.047636
3.937500, 0.201589, 0.083564
4.062500, 0.211916, 0.137717
4.187500, 0.221385, 0.213222
4.312500, 0.229837, 0.310140
4.437500, 0.237127, 0.423800
4.562500, 0.243125, 0.544057
4.687500, 0.247722, 0.656155
4.812500, 0.250836, 0.743444
4.937500, 0.252407, 0.791351
5.062500, 0.252407, 0.791351
5.187500, 0.250836, 0.743444
5.312500, 0.247722, 0.656155
5.437500, 0.243125, 0.544057
5.562500, 0.237127, 0.423800
5.687500, 0.229837, 0.310140
5.812500, 0.221385, 0.213222
5.937500, 0.211916, 0.137717
6.062500, 0.201589, 0.083564
6.187500, 0.190572, 0.047636
6.312500, 0.179035, 0.025511
6.437500, 0.167149, 0.012835
6.562500, 0.155081, 0.006067
6.687500, 0.142989, 0.002694
6.812500, 0.131019, 0.001124
6.937500, 0.119303, 0.000440
7.062500, 0.107959, 0.000162
7.187500, 0.097085, 0.000056
7.312500, 0.086763, 0.000018
7.437500, 0.077056, 0.000006
7.562500, 0.068009, 0.000002
7.687500, 0.059650, 0.000000
7.812500, 0.051993, 0.000000
7.937500, 0.045037, 0.000000
8.062500, 0.038768, 0.000000
8.187500, 0.033165, 0.000000
8.312500, 0.028194, 0.000000
8.437500, 0.023820, 0.000000
8.562500, 0.019999, 0.000000
8.687500, 0.016686, 0.000000
8.812500, 0.013835, 0.000000
8.937500, 0.011400, 0.000000
9.062500, 0.009335, 0.000000
9.187500, 0.007597, 0.000000
9.312500, 0.006143, 0.000000
9.437500, 0.004937, 0.000000
9.562500, 0.003943, 0.000000
9.687500, 0.003130, 0.000000
9.812500, 0.002469, 0.000000
9.937500, 0.001935, 0.000000
