s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s
A-Time,A-Temperature,A-Mass,A-Mdot,B-Time,B-Temperature,B-Mass,B-Mdot,C-Time,C-Temperature,C-Mass,C-Mdot,D-Time,D-Temperature,D-Mass,D-Mdot,E-Time,E-Temperature,E-Mass,E-Mdot,F-Time,F-Temperature,F-Mass,F-Mdot,G-Time,G-Temperature,G-Mass,G-Mdot,H-Time,H-Temperature,H-Mass,H-Mdot
666.5,149.6,0.9175,0.000027,666.5,149.3,0.9515,0.000013,812.3,104.7,0.4430,0.000006,812.3,105.5,0.3787,0.000003,1740.5,183.2,0.8889,0.000044,184.5,104.3,0.9455,0.000039,330.3,100.7,0.4662,0.001253,208.8,74.0,0.7798,0.001217
674.7,150.9,0.9173,0.000029,674.7,150.7,0.9514,0.000013,822.3,104.7,0.4429,0.000005,822.3,105.5,0.3786,0.000003,1762.0,184.4,0.8880,0.000045,186.8,104.3,0.9454,0.000038,334.4,100.8,0.4612,0.001213,211.4,74.1,0.7767,0.001211
682.9,152.3,0.9170,0.000031,682.9,152.1,0.9513,0.000014,832.3,104.7,0.4429,0.000005,832.3,105.5,0.3786,0.000003,1783.5,185.6,0.8870,0.000047,189.1,104.4,0.9454,0.000036,338.5,100.9,0.4563,0.001172,214.0,74.1,0.7735,0.001205
691.2,153.6,0.9168,0.000032,691.2,153.4,0.9512,0.000014,842.4,104.7,0.4428,0.000005,842.4,105.5,0.3786,0.000003,1805.0,187.0,0.8860,0.000049,191.4,104.4,0.9453,0.000035,342.6,100.9,0.4516,0.001130,216.6,74.0,0.7704,0.001198
699.4,155.0,0.9165,0.000034,699.4,154.7,0.9511,0.000014,852.4,104.7,0.4428,0.000004,852.4,105.5,0.3786,0.000003,1826.5,188.1,0.8849,0.000050,193.6,104.4,0.9452,0.000034,346.6,101.0,0.4471,0.001087,219.1,74.0,0.7673,0.001192
707.6,156.4,0.9162,0.000036,707.6,156.0,0.9509,0.000015,862.4,104.7,0.4427,0.000004,862.4,105.4,0.3785,0.000003,1848.0,189.4,0.8838,0.000052,195.9,104.4,0.9451,0.000032,350.7,101.2,0.4427,0.001043,221.7,74.0,0.7642,0.001186
715.8,157.7,0.9159,0.000037,715.8,157.4,0.9508,0.000015,872.4,104.6,0.4427,0.000004,872.4,105.4,0.3785,0.000002,1869.5,190.7,0.8827,0.000053,198.2,104.4,0.9450,0.000031,354.8,101.3,0.4386,0.000998,224.3,74.0,0.7612,0.001182
724.1,159.0,0.9156,0.000039,724.1,158.8,0.9507,0.000016,882.5,104.6,0.4427,0.000004,882.5,105.4,0.3785,0.000002,1890.9,192.1,0.8815,0.000054,200.5,104.5,0.9450,0.000030,358.9,101.4,0.4346,0.000953,226.9,74.1,0.7581,0.001179
732.3,160.4,0.9153,0.000040,732.3,160.2,0.9506,0.000016,892.5,104.6,0.4426,0.000004,892.5,105.4,0.3785,0.000002,1912.4,193.3,0.8803,0.000056,202.7,104.5,0.9449,0.000029,362.9,101.5,0.4308,0.000907,229.4,74.1,0.7550,0.001178
740.5,161.7,0.9149,0.000042,740.5,161.6,0.9504,0.000016,902.5,104.7,0.4426,0.000004,902.5,105.5,0.3784,0.000002,1933.9,194.5,0.8791,0.000057,205.0,104.5,0.9448,0.000028,367.0,101.6,0.4272,0.000862,232.0,74.3,0.7520,0.001181
748.7,163.0,0.9146,0.000043,748.7,162.9,0.9503,0.000016,912.5,104.7,0.4425,0.000004,912.5,105.4,0.3784,0.000002,1955.4,195.7,0.8779,0.000059,207.3,104.5,0.9448,0.000027,371.1,101.7,0.4238,0.000816,234.6,74.6,0.7490,0.001189
757.0,164.3,0.9142,0.000045,757.0,164.3,0.9502,0.000016,922.6,104.7,0.4425,0.000004,922.6,105.4,0.3784,0.000002,1976.9,196.9,0.8766,0.000061,209.6,104.5,0.9447,0.000027,375.2,101.9,0.4206,0.000771,237.2,75.1,0.7459,0.001202
765.2,165.6,0.9138,0.000047,765.2,165.6,0.9500,0.000016,932.6,104.6,0.4425,0.000004,932.6,105.5,0.3784,0.000002,1998.4,198.1,0.8752,0.000064,211.9,104.5,0.9447,0.000026,379.3,102.0,0.4175,0.000726,239.8,75.8,0.7428,0.001222
773.4,167.0,0.9135,0.000048,773.4,167.0,0.9499,0.000016,942.6,104.6,0.4424,0.000003,942.6,105.5,0.3784,0.000002,2019.9,199.4,0.8738,0.000066,214.1,104.5,0.9446,0.000025,383.3,102.1,0.4146,0.000680,242.3,76.7,0.7397,0.001248
781.7,168.3,0.9131,0.000051,781.7,168.4,0.9498,0.000016,952.7,104.6,0.4424,0.000003,952.7,105.5,0.3783,0.000002,2041.4,200.5,0.8724,0.000069,216.4,104.5,0.9446,0.000025,387.4,102.3,0.4120,0.000635,244.9,77.8,0.7365,0.001281
789.9,169.7,0.9126,0.000053,789.9,169.8,0.9496,0.000017,962.7,104.6,0.4424,0.000003,962.7,105.5,0.3783,0.000002,2062.8,201.8,0.8709,0.000072,218.7,104.5,0.9445,0.000024,391.5,102.4,0.4094,0.000589,247.5,79.2,0.7332,0.001322
798.1,171.1,0.9122,0.000056,798.1,171.2,0.9495,0.000018,972.7,104.6,0.4423,0.000003,972.7,105.4,0.3783,0.000002,2084.3,203.1,0.8693,0.000074,221.0,104.5,0.9444,0.000024,395.6,102.5,0.4071,0.000543,250.1,80.7,0.7297,0.001370
806.3,172.4,0.9117,0.000059,806.3,172.6,0.9494,0.000020,982.7,104.7,0.4423,0.000003,982.7,105.4,0.3783,0.000002,2105.8,204.3,0.8677,0.000077,223.2,104.5,0.9444,0.000024,399.6,102.6,0.4050,0.000498,252.6,82.4,0.7262,0.001425
814.6,173.6,0.9112,0.000061,814.6,174.0,0.9492,0.000022,992.8,104.7,0.4423,0.000003,992.8,105.4,0.3783,0.000002,2127.3,205.5,0.8660,0.000080,225.5,104.5,0.9443,0.000023,403.7,102.7,0.4031,0.000452,255.2,84.3,0.7225,0.001486
822.8,175.0,0.9107,0.000063,822.8,175.4,0.9490,0.000024,1002.8,104.7,0.4422,0.000003,1002.8,105.4,0.3783,0.000002,2148.8,206.9,0.8643,0.000083,227.8,104.5,0.9443,0.000023,407.8,102.9,0.4013,0.000408,257.8,86.2,0.7186,0.001552
831.0,176.4,0.9102,0.000065,831.0,176.8,0.9488,0.000027,1012.8,104.7,0.4422,0.000003,1012.8,105.5,0.3782,0.000002,2170.3,208.1,0.8625,0.000085,230.1,104.5,0.9442,0.000022,411.9,103.0,0.3997,0.000364,260.4,88.3,0.7145,0.001623
839.3,177.8,0.9096,0.000068,839.3,178.1,0.9485,0.000031,1022.9,104.7,0.4422,0.000003,1022.9,105.5,0.3782,0.000002,2191.8,209.2,0.8606,0.000088,232.4,104.6,0.9442,0.000022,416.0,103.1,0.3983,0.000322,263.0,90.4,0.7103,0.001696
847.5,179.3,0.9090,0.000071,847.5,179.5,0.9483,0.000035,1032.9,104.7,0.4422,0.000003,1032.9,105.6,0.3782,0.000002,2213.3,210.5,0.8587,0.000090,234.6,104.6,0.9441,0.000021,420.0,103.2,0.3971,0.000283,265.5,92.6,0.7058,0.001770
855.7,180.7,0.9084,0.000074,855.7,180.9,0.9480,0.000041,1042.9,104.7,0.4421,0.000003,1042.9,105.6,0.3782,0.000002,2234.8,211.9,0.8567,0.000092,236.9,104.6,0.9441,0.000021,424.1,103.3,0.3960,0.000246,268.1,94.7,0.7012,0.001843
863.9,182.1,0.9078,0.000078,863.9,182.2,0.9476,0.000047,1052.9,104.7,0.4421,0.000003,1052.9,105.5,0.3782,0.000002,2256.2,213.1,0.8547,0.000095,239.2,104.6,0.9440,0.000020,428.2,103.4,0.3951,0.000212,270.7,96.7,0.6963,0.001913
872.2,183.5,0.9072,0.000081,872.2,183.6,0.9472,0.000053,1063.0,104.7,0.4421,0.000002,1063.0,105.4,0.3782,0.000002,2277.7,214.3,0.8527,0.000097,241.5,104.6,0.9440,0.000019,432.3,103.5,0.3943,0.000182,273.3,98.7,0.6913,0.001980
880.4,184.9,0.9065,0.000085,880.4,185.0,0.9467,0.000059,1073.0,104.7,0.4421,0.000002,1073.0,105.3,0.3781,0.000002,2299.2,215.5,0.8505,0.000099,243.7,104.7,0.9439,0.000018,436.3,103.6,0.3936,0.000156,275.8,100.5,0.6860,0.002040
888.6,186.3,0.9058,0.000088,888.6,186.4,0.9462,0.000066,1083.0,104.8,0.4420,0.000002,1083.0,105.3,0.3781,0.000001,2320.7,216.8,0.8484,0.000101,246.0,104.7,0.9439,0.000018,440.4,103.7,0.3931,0.000133,278.4,102.2,0.6806,0.002093
896.9,187.7,0.9050,0.000092,896.9,187.7,0.9456,0.000072,1093.1,104.8,0.4420,0.000002,1093.1,105.4,0.3781,0.000001,2342.2,218.0,0.8462,0.000102,248.3,104.7,0.9439,0.000017,444.5,103.7,0.3926,0.000114,281.0,103.6,0.6751,0.002138
905.1,189.0,0.9043,0.000096,905.1,189.0,0.9450,0.000078,1103.1,104.8,0.4420,0.000002,1103.1,105.4,0.3781,0.000001,2363.7,219.3,0.8440,0.000104,250.6,104.7,0.9438,0.000016,448.6,103.8,0.3921,0.000098,283.6,104.9,0.6695,0.002174
913.3,190.3,0.9035,0.000101,913.3,190.4,0.9444,0.000084,1113.1,104.7,0.4420,0.000002,1113.1,105.4,0.3781,0.000001,2385.2,220.5,0.8417,0.000105,252.9,104.7,0.9438,0.000016,452.7,103.9,0.3918,0.000085,286.2,105.9,0.6638,0.002202
921.5,191.7,0.9026,0.000105,921.5,191.8,0.9436,0.000090,1123.1,104.7,0.4419,0.000002,1123.1,105.5,0.3781,0.000001,2406.7,221.8,0.8395,0.000107,255.1,104.7,0.9438,0.000015,456.7,104.0,0.3914,0.000075,288.7,106.8,0.6580,0.002221
929.8,193.0,0.9017,0.000109,929.8,193.2,0.9429,0.000096,1133.2,104.7,0.4419,0.000002,1133.2,105.5,0.3781,0.000002,2428.1,223.0,0.8372,0.000107,257.4,104.7,0.9437,0.000015,460.8,104.1,0.3911,0.000066,291.3,107.6,0.6523,0.002232
938.0,194.4,0.9008,0.000113,938.0,194.5,0.9421,0.000102,1143.2,104.7,0.4419,0.000002,1143.2,105.4,0.3780,0.000002,2449.6,224.2,0.8349,0.000108,259.7,104.6,0.9437,0.000015,464.9,104.2,0.3909,0.000059,293.9,108.2,0.6465,0.002237
946.2,195.7,0.8999,0.000118,946.2,195.9,0.9412,0.000108,1153.2,104.7,0.4419,0.000002,1153.2,105.4,0.3780,0.000002,2471.1,225.5,0.8325,0.000109,262.0,104.6,0.9437,0.000015,469.0,104.3,0.3906,0.000054,296.5,108.8,0.6407,0.002235
954.4,197.1,0.8989,0.000122,954.4,197.3,0.9403,0.000113,1163.2,104.6,0.4419,0.000002,1163.2,105.5,0.3780,0.000001,2492.6,226.6,0.8302,0.000110,264.2,104.6,0.9436,0.000014,473.0,104.4,0.3904,0.000049,299.0,109.2,0.6350,0.002228
962.7,198.5,0.8979,0.000126,962.7,198.6,0.9393,0.000118,1173.3,104.6,0.4418,0.000002,1173.3,105.5,0.3780,0.000001,2514.1,227.8,0.8278,0.000111,266.5,104.6,0.9436,0.000014,477.1,104.4,0.3902,0.000045,301.6,109.7,0.6293,0.002218
970.9,199.9,0.8968,0.000130,970.9,199.9,0.9383,0.000123,1183.3,104.7,0.4418,0.000002,1183.3,105.5,0.3780,0.000001,2535.6,229.2,0.8254,0.000111,268.8,104.6,0.9436,0.000015,481.2,104.4,0.3901,0.000041,304.2,110.0,0.6236,0.002205
979.1,201.3,0.8957,0.000135,979.1,201.2,0.9373,0.000128,1193.3,104.7,0.4418,0.000002,1193.3,105.5,0.3780,0.000001,2557.1,230.4,0.8231,0.000110,271.1,104.6,0.9435,0.000015,485.3,104.5,0.3899,0.000038,306.8,110.3,0.6179,0.002189
987.4,202.6,0.8946,0.000139,987.4,202.5,0.9362,0.000133,1203.4,104.7,0.4418,0.000002,1203.4,105.5,0.3780,0.000001,2578.6,231.6,0.8207,0.000111,273.4,104.6,0.9435,0.000015,489.4,104.5,0.3898,0.000035,309.4,110.6,0.6123,0.002172
995.6,204.0,0.8934,0.000143,995.6,203.9,0.9351,0.000138,1213.4,104.7,0.4418,0.000002,1213.4,105.5,0.3780,0.000001,2600.0,232.9,0.8183,0.000111,275.6,104.6,0.9435,0.000015,493.4,104.5,0.3896,0.000033,311.9,110.9,0.6068,0.002153
1003.8,205.3,0.8922,0.000148,1003.8,205.3,0.9339,0.000145,1223.4,104.8,0.4417,0.000002,1223.4,105.5,0.3779,0.000001,2621.5,234.2,0.8159,0.000111,277.9,104.7,0.9434,0.000014,497.5,104.5,0.3895,0.000031,314.5,111.1,0.6013,0.002134
1012.0,206.7,0.8910,0.000154,1012.0,206.7,0.9327,0.000152,1233.4,104.8,0.4417,0.000002,1233.4,105.5,0.3779,0.000001,2643.0,235.4,0.8135,0.000110,280.2,104.7,0.9434,0.000014,501.6,104.5,0.3894,0.000029,317.1,111.3,0.5958,0.002115
1020.3,208.0,0.8897,0.000159,1020.3,208.2,0.9315,0.000159,1243.5,104.8,0.4417,0.000002,1243.5,105.5,0.3779,0.000001,2664.5,236.5,0.8111,0.000110,282.5,104.7,0.9434,0.000014,505.7,104.5,0.3892,0.000027,319.7,111.5,0.5904,0.002096
1028.5,209.4,0.8884,0.000165,1028.5,209.6,0.9301,0.000167,1253.5,104.8,0.4417,0.000002,1253.5,105.6,0.3779,0.000001,2686.0,237.8,0.8088,0.000110,284.7,104.7,0.9433,0.000014,509.7,104.5,0.3891,0.000025,322.2,111.7,0.5850,0.002077
1036.7,210.8,0.8870,0.000172,1036.7,211.0,0.9287,0.000176,1263.5,104.6,0.4417,0.000002,1263.5,105.6,0.3779,0.000001,2707.5,239.0,0.8064,0.000111,287.0,104.7,0.9433,0.000014,513.8,104.5,0.3890,0.000024,324.8,111.8,0.5797,0.002057
1045.0,212.1,0.8855,0.000179,1045.0,212.4,0.9272,0.000185,1273.6,104.6,0.4417,0.000001,1273.6,105.6,0.3779,0.000000,2729.0,240.4,0.8040,0.000111,289.3,104.7,0.9433,0.000013,517.9,104.5,0.3889,0.000023,327.4,112.0,0.5744,0.002038
1053.2,213.4,0.8840,0.000187,1053.2,213.8,0.9257,0.000195,1283.6,104.8,0.4416,0.000001,1283.6,105.7,0.3779,0.000000,2750.5,241.5,0.8017,0.000111,291.6,104.7,0.9432,0.000013,522.0,104.5,0.3889,0.000021,330.0,112.1,0.5692,0.002019
1061.4,214.8,0.8824,0.000196,1061.4,215.1,0.9240,0.000206,1293.6,105.6,0.4416,0.000001,1293.6,106.4,0.3779,0.000000,2772.0,242.8,0.7993,0.000111,293.9,104.7,0.9432,0.000013,526.1,104.5,0.3888,0.000020,332.6,112.2,0.5640,0.002000
1069.6,216.1,0.8808,0.000204,1069.6,216.5,0.9223,0.000217,1303.6,106.8,0.4416,0.000001,1303.6,107.6,0.3779,0.000000,2793.4,244.1,0.7969,0.000111,296.1,104.7,0.9432,0.000013,530.1,104.5,0.3887,0.000019,335.1,112.3,0.5589,0.001980
1077.9,217.4,0.8791,0.000212,1077.9,217.8,0.9204,0.000228,1313.7,108.2,0.4416,0.000001,1313.7,109.0,0.3779,0.000001,2814.9,245.2,0.7945,0.000111,298.4,104.7,0.9431,0.000012,534.2,104.5,0.3886,0.000018,337.7,112.4,0.5538,0.001960
1086.1,218.8,0.8773,0.000221,1086.1,219.2,0.9185,0.000239,1323.7,109.6,0.4416,0.000002,1323.7,110.5,0.3779,0.000001,2836.4,246.5,0.7921,0.000112,300.7,104.7,0.9431,0.000012,538.3,104.5,0.3885,0.000017,340.3,112.5,0.5488,0.001940
1094.3,220.2,0.8755,0.000230,1094.3,220.5,0.9165,0.000251,1333.7,111.1,0.4416,0.000002,1333.7,112.1,0.3779,0.000001,2857.9,247.8,0.7897,0.000113,303.0,104.7,0.9431,0.000012,542.4,104.5,0.3885,0.000016,342.9,112.6,0.5438,0.001919
1102.6,221.6,0.8735,0.000239,1102.6,221.9,0.9144,0.000262,1343.8,112.7,0.4416,0.000002,1343.8,113.7,0.3779,0.000001,2879.4,249.0,0.7873,0.000113,305.3,104.7,0.9431,0.000012,546.5,104.5,0.3884,0.000015,345.5,112.7,0.5389,0.001898
1110.8,223.0,0.8715,0.000247,1110.8,223.3,0.9122,0.000273,1353.8,114.3,0.4415,0.000002,1353.8,115.3,0.3778,0.000002,2900.9,250.2,0.7849,0.000113,307.5,104.7,0.9430,0.000012,550.5,104.5,0.3883,0.000015,348.0,112.8,0.5340,0.001875
1119.0,224.4,0.8695,0.000256,1119.0,224.7,0.9099,0.000284,1363.8,115.9,0.4415,0.000003,1363.8,117.0,0.3778,0.000002,2922.4,251.4,0.7824,0.000115,309.8,104.7,0.9430,0.000012,554.6,104.5,0.3883,0.000014,350.6,112.9,0.5292,0.001852
1127.2,225.8,0.8673,0.000265,1127.2,226.1,0.9075,0.000295,1373.8,117.5,0.4415,0.000003,1373.8,118.6,0.3778,0.000002,2943.9,252.6,0.7799,0.000116,312.1,104.7,0.9430,0.000012,558.7,104.6,0.3882,0.000013,353.2,113.0,0.5245,0.001828
1135.5,227.1,0.8651,0.000273,1135.5,227.4,0.9050,0.000305,1383.9,119.2,0.4415,0.000003,1383.9,120.2,0.3778,0.000002,2965.3,253.9,0.7774,0.000117,314.4,104.7,0.9430,0.000011,562.8,104.6,0.3882,0.000013,355.8,113.1,0.5198,0.001803
1143.7,228.5,0.8628,0.000281,1143.7,228.8,0.9025,0.000315,1393.9,120.8,0.4414,0.000004,1393.9,121.8,0.3778,0.000003,2986.8,255.2,0.7749,0.000118,316.6,104.7,0.9429,0.000011,566.8,104.6,0.3881,0.000012,358.3,113.2,0.5152,0.001777
1151.9,229.8,0.8605,0.000287,1151.9,230.1,0.8999,0.000324,1403.9,122.4,0.4414,0.000004,1403.9,123.4,0.3777,0.000003,3008.3,256.3,0.7724,0.000119,318.9,104.7,0.9429,0.000011,570.9,104.6,0.3881,0.000012,360.9,113.3,0.5107,0.001750
1160.1,231.1,0.8581,0.000293,1160.1,231.4,0.8972,0.000333,1413.9,124.2,0.4413,0.000004,1413.9,125.1,0.3777,0.000003,3029.8,257.5,0.7698,0.000121,321.2,104.7,0.9429,0.000011,575.0,104.6,0.3880,0.000011,363.5,113.4,0.5062,0.001720
1168.4,232.5,0.8557,0.000299,1168.4,232.8,0.8944,0.000340,1424.0,125.9,0.4413,0.000005,1424.0,126.7,0.3777,0.000003,3051.3,258.8,0.7672,0.000122,323.5,104.7,0.9429,0.000011,579.1,104.6,0.3880,0.000011,366.1,113.5,0.5018,0.001689
1176.6,233.9,0.8532,0.000305,1176.6,234.2,0.8916,0.000347,1434.0,127.5,0.4412,0.000005,1434.0,128.3,0.3776,0.000003,3072.8,260.0,0.7645,0.000124,325.8,104.7,0.9428,0.000010,583.2,104.6,0.3879,0.000011,368.7,113.6,0.4975,0.001656
1184.8,235.3,0.8506,0.000310,1184.8,235.6,0.8887,0.000354,1444.0,129.2,0.4412,0.000005,1444.0,130.0,0.3776,0.000004,3094.3,261.2,0.7619,0.000125,328.0,104.7,0.9428,0.000010,587.2,104.6,0.3879,0.000010,371.2,113.7,0.4933,0.001621
1193.1,236.6,0.8481,0.000315,1193.1,237.0,0.8857,0.000360,1454.1,130.8,0.4411,0.000006,1454.1,131.6,0.3776,0.000005,3115.8,262.5,0.7592,0.000126,330.3,104.7,0.9428,0.000010,591.3,104.6,0.3879,0.000010,373.8,113.8,0.4891,0.001582
1201.3,238.0,0.8455,0.000319,1201.3,238.4,0.8828,0.000367,1464.1,132.5,0.4411,0.000006,1464.1,133.3,0.3775,0.000005,3137.2,263.8,0.7564,0.000128,332.6,104.7,0.9428,0.000009,595.4,104.6,0.3878,0.000010,376.4,113.9,0.4851,0.001541
1209.5,239.3,0.8428,0.000322,1209.5,239.8,0.8797,0.000373,1474.1,134.2,0.4410,0.000007,1474.1,135.0,0.3774,0.000006,3158.7,265.1,0.7537,0.000130,334.9,104.7,0.9427,0.000009,599.5,104.6,0.3878,0.000009,379.0,114.0,0.4812,0.001495
1217.7,240.6,0.8402,0.000324,1217.7,241.2,0.8766,0.000379,1484.1,135.8,0.4409,0.000007,1484.1,136.7,0.3774,0.000006,3180.2,266.4,0.7509,0.000131,337.1,104.8,0.9427,0.000009,603.5,104.6,0.3877,0.000009,381.5,114.2,0.4774,0.001446
1226.0,241.9,0.8375,0.000327,1226.0,242.5,0.8735,0.000383,1494.2,137.4,0.4409,0.000008,1494.2,138.3,0.3773,0.000006,3201.7,267.5,0.7480,0.000132,339.4,104.8,0.9427,0.000009,607.6,104.7,0.3877,0.000009,384.1,114.3,0.4737,0.001393
1234.2,243.2,0.8348,0.000330,1234.2,243.8,0.8703,0.000388,1504.2,139.1,0.4408,0.000008,1504.2,140.0,0.3773,0.000007,3223.2,268.8,0.7452,0.000134,341.7,104.8,0.9427,0.000009,611.7,104.7,0.3877,0.000008,386.7,114.4,0.4702,0.001335
1242.4,244.6,0.8321,0.000333,1242.4,245.1,0.8671,0.000392,1514.2,140.7,0.4407,0.000009,1514.2,141.8,0.3772,0.000008,3244.7,270.0,0.7423,0.000135,344.0,104.8,0.9427,0.000009,615.8,104.7,0.3876,0.000008,389.3,114.4,0.4668,0.001273
1250.7,246.0,0.8293,0.000335,1250.7,246.5,0.8639,0.000397,1524.3,142.3,0.4406,0.000009,1524.3,143.4,0.3771,0.000008,3266.2,271.3,0.7394,0.000137,346.3,104.8,0.9426,0.000009,619.9,104.7,0.3876,0.000008,391.9,114.4,0.4635,0.001207
1258.9,247.4,0.8265,0.000338,1258.9,247.9,0.8606,0.000402,1534.3,144.0,0.4405,0.000010,1534.3,145.1,0.3770,0.000009,3287.7,272.6,0.7364,0.000139,348.5,104.8,0.9426,0.000009,623.9,104.7,0.3876,0.000007,394.4,114.3,0.4605,0.001137
1267.1,248.8,0.8238,0.000340,1267.1,249.4,0.8572,0.000406,1544.3,145.7,0.4404,0.000011,1544.3,146.7,0.3769,0.000010,3309.2,273.8,0.7334,0.000140,350.8,104.8,0.9426,0.000009,628.0,104.7,0.3875,0.000007,397.0,114.1,0.4576,0.001064
1275.3,250.2,0.8209,0.000341,1275.3,250.8,0.8539,0.000410,1554.3,147.4,0.4403,0.000011,1554.3,148.4,0.3768,0.000011,3330.6,274.9,0.7304,0.000142,353.1,104.8,0.9426,0.000009,632.1,104.7,0.3875,0.000007,399.6,113.8,0.4549,0.000987
1283.6,251.5,0.8181,0.000341,1283.6,252.3,0.8505,0.000414,1564.4,149.1,0.4402,0.000012,1564.4,150.1,0.3767,0.000011,3352.1,276.2,0.7273,0.000143,355.4,104.8,0.9426,0.000009,636.2,104.7,0.3875,0.000007,402.2,113.5,0.4525,0.000909
1291.8,252.8,0.8153,0.000342,1291.8,253.7,0.8471,0.000418,1574.4,150.7,0.4401,0.000012,1574.4,151.8,0.3766,0.000012,3373.6,277.6,0.7242,0.000146,357.6,104.7,0.9425,0.000009,640.2,104.7,0.3875,0.000006,404.7,113.0,0.4502,0.000831
1300.0,254.1,0.8125,0.000342,1300.0,255.0,0.8436,0.000423,1584.4,152.3,0.4399,0.000013,1584.4,153.4,0.3765,0.000013,3395.1,278.8,0.7210,0.000148,359.9,104.7,0.9425,0.000008,644.3,104.7,0.3874,0.000006,407.3,112.4,0.4482,0.000753
1308.3,255.5,0.8097,0.000344,1308.3,256.4,0.8401,0.000427,1594.5,153.9,0.4398,0.000014,1594.5,155.1,0.3763,0.000013,3416.6,279.9,0.7179,0.000150,362.2,104.7,0.9425,0.000007,648.4,104.6,0.3874,0.000006,409.9,111.8,0.4463,0.000676
1316.5,257.0,0.8069,0.000346,1316.5,257.8,0.8366,0.000432,1604.5,155.6,0.4397,0.000014,1604.5,156.7,0.3762,0.000014,3438.1,281.2,0.7146,0.000152,364.5,104.7,0.9425,0.000006,652.5,104.6,0.3874,0.000006,412.5,111.2,0.4447,0.000603
1324.7,258.4,0.8040,0.000348,1324.7,259.2,0.8330,0.000437,1614.5,157.2,0.4395,0.000015,1614.5,158.3,0.3761,0.000015,3459.6,282.4,0.7113,0.000154,366.8,104.6,0.9425,0.000004,656.6,104.6,0.3874,0.000005,415.1,110.5,0.4433,0.000533
1332.9,259.8,0.8011,0.000349,1332.9,260.6,0.8294,0.000442,1624.5,158.8,0.4393,0.000016,1624.5,160.0,0.3759,0.000016,3481.1,283.6,0.7080,0.000155,369.0,104.6,0.9424,0.000002,660.6,104.6,0.3874,0.000005,417.6,109.8,0.4420,0.000468
1341.2,261.1,0.7983,0.000351,1341.2,261.9,0.8257,0.000447,1634.6,160.5,0.4392,0.000018,1634.6,161.7,0.3757,0.000017,3502.5,284.6,0.7047,0.000158,371.3,104.6,0.9424,0.000000,664.7,104.6,0.3873,0.000005,420.2,109.2,0.4410,0.000409
1349.4,262.5,0.7954,0.000352,1349.4,263.4,0.8220,0.000452,1644.6,162.2,0.4390,0.000019,1644.6,163.3,0.3756,0.000018,3524.0,285.9,0.7012,0.000160,373.6,104.7,0.9424,-0.000002,668.8,104.6,0.3873,0.000005,422.8,108.6,0.4400,0.000355
1357.6,263.8,0.7925,0.000354,1357.6,264.8,0.8183,0.000459,1654.6,163.9,0.4388,0.000019,1654.6,164.9,0.3754,0.000020,3545.5,287.3,0.6978,0.000162,375.9,104.8,0.9424,-0.000004,672.9,104.6,0.3873,0.000005,425.4,108.0,0.4392,0.000308
1365.8,265.2,0.7896,0.000356,1365.8,266.2,0.8145,0.000465,1664.6,165.6,0.4386,0.000021,1664.6,166.6,0.3752,0.000021,3567.0,288.6,0.6943,0.000165,378.1,104.9,0.9425,-0.000006,676.9,104.6,0.3873,0.000005,427.9,107.4,0.4385,0.000266
1374.1,266.6,0.7866,0.000359,1374.1,267.5,0.8106,0.000472,1674.7,167.3,0.4384,0.000022,1674.7,168.3,0.3750,0.000021,3588.5,289.8,0.6907,0.000167,380.4,105.3,0.9425,-0.000007,681.0,104.6,0.3873,0.000005,430.5,107.0,0.4379,0.000231
1382.3,268.0,0.7837,0.000362,1382.3,268.9,0.8067,0.000480,1684.7,169.0,0.4382,0.000023,1684.7,170.0,0.3747,0.000023,3610.0,291.0,0.6871,0.000170,382.7,105.7,0.9425,-0.000008,685.1,104.6,0.3872,0.000005,433.1,106.5,0.4373,0.000201
1390.5,269.3,0.7807,0.000366,1390.5,270.3,0.8027,0.000487,1694.7,170.7,0.4379,0.000025,1694.7,171.6,0.3745,0.000024,3631.5,292.2,0.6834,0.000173,385.0,106.3,0.9425,-0.000008,689.2,104.6,0.3872,0.000005,435.7,106.2,0.4368,0.000176
1398.8,270.5,0.7776,0.000370,1398.8,271.8,0.7987,0.000496,1704.8,172.3,0.4377,0.000026,1704.8,173.3,0.3742,0.000025,3653.0,293.4,0.6797,0.000175,387.3,107.1,0.9426,-0.000008,693.3,104.6,0.3872,0.000005,438.3,105.8,0.4364,0.000155
1407.0,271.9,0.7746,0.000373,1407.0,273.2,0.7946,0.000505,1714.8,174.0,0.4374,0.000028,1714.8,174.9,0.3740,0.000026,3674.4,294.7,0.6759,0.000178,389.5,108.1,0.9426,-0.000007,697.3,104.6,0.3872,0.000005,440.8,105.6,0.4360,0.000138
1415.2,273.3,0.7715,0.000377,1415.2,274.7,0.7904,0.000515,1724.8,175.7,0.4371,0.000029,1724.8,176.5,0.3737,0.000028,3695.9,296.0,0.6720,0.000181,391.8,109.2,0.9426,-0.000005,701.4,104.6,0.3871,0.000005,443.4,105.4,0.4357,0.000124
