m,  
npv-z, npv
0.010000, 0.000000
0.126582, 0.000000
0.253165, 0.000000
0.379747, 0.000000
0.506329, 0.000000
0.632911, 0.000000
0.759494, 0.000000
0.886076, 0.000000
1.012658, 0.000000
1.139241, 0.000000
1.265823, 0.000000
1.392405, 0.000000
1.518987, 0.000000
1.645570, 0.000000
1.772152, 0.000000
1.898734, 0.000000
2.025317, 0.000000
2.151899, 0.000000
2.278481, 0.000000
2.405063, 0.000005
2.531646, 0.000011
2.658228, 0.000032
2.784810, 0.000161
2.911392, 0.000348
3.037975, 0.000872
3.164557, 0.001894
3.291139, 0.004420
3.417721, 0.009307
3.544304, 0.018222
3.670886, 0.033758
3.797468, 0.059066
3.924051, 0.098091
4.050633, 0.154064
4.177215, 0.227986
4.303797, 0.319152
4.430380, 0.424167
4.556962, 0.530537
4.683544, 0.627477
4.810127, 0.701083
4.936709, 0.742869
5.063291, 0.743131
5.189873, 0.700693
5.316456, 0.628333
5.443038, 0.532699
5.569620, 0.426260
5.696203, 0.322791
5.822785, 0.230121
5.949367, 0.154882
6.075949, 0.098652
6.202532, 0.058841
6.329114, 0.032774
6.455696, 0.017441
6.582279, 0.008670
6.708861, 0.004169
6.835443, 0.001787
6.962025, 0.000669
7.088608, 0.000257
7.215190, 0.000091
7.341772, 0.000027
7.468354, 0.000016
7.594937, 0.000005
7.721519, 0.000000
7.848101, 0.000000
7.974684, 0.000000
8.101266, 0.000000
8.227848, 0.000000
8.354430, 0.000000
8.481013, 0.000000
8.607595, 0.000000
8.734177, 0.000000
8.860760, 0.000000
8.987342, 0.000000
9.113924, 0.000000
9.240506, 0.000000
9.367089, 0.000000
9.493671, 0.000000
9.620253, 0.000000
9.746835, 0.000000
9.873418, 0.000000
9.990000, 0.000000
