 r23003 | fds.firebot | 2015-06-28 21:56:39 -0400 (Sun, 28 Jun 2015) | Firebot: Bump SVN revision of FDS guides and FDS source 
 r23001 | fds.firebot | 2015-06-27 21:56:19 -0400 (Sat, 27 Jun 2015) | Firebot: Bump SVN revision of FDS guides and FDS source 
 r23000 | randy.mcdermott | 2015-06-26 17:11:13 -0400 (Fri, 26 Jun 2015) | Good-bye Subversion!!! 
 r22999 | gforney | 2015-06-26 15:03:02 -0400 (Fri, 26 Jun 2015) | svn->git test 3 
 r22998 | mcgratta | 2015-06-26 14:39:04 -0400 (Fri, 26 Jun 2015) | FDS Validation: Add PRISME DOOR results. 
 r22997 | gforney | 2015-06-26 14:38:00 -0400 (Fri, 26 Jun 2015) | svn->git test 2 
 r22996 | gforney | 2015-06-26 13:25:27 -0400 (Fri, 26 Jun 2015) | test svn->git synching 
 r22995 | arquitetojulio@gmail.com | 2015-06-26 09:44:45 -0400 (Fri, 26 Jun 2015) | adding time average output option in fds2ftmi 
 r22993 | fds.firebot | 2015-06-25 21:56:40 -0400 (Thu, 25 Jun 2015) | Firebot: Bump SVN revision of FDS guides and FDS source 
 r22992 | gforney | 2015-06-25 21:15:22 -0400 (Thu, 25 Jun 2015) | smv vv: force smokebot run 
 r22991 | randy.mcdermott | 2015-06-25 11:56:49 -0400 (Thu, 25 Jun 2015) | Matlab: addverstr to pressure_coefficient.m 
 r22990 | randy.mcdermott | 2015-06-25 11:48:08 -0400 (Thu, 25 Jun 2015) | Training: add .gitignore 
 r22989 | randy.mcdermott | 2015-06-25 11:47:37 -0400 (Thu, 25 Jun 2015) | FDS-SMV_website: add .gitignore 
 r22988 | randy.mcdermott | 2015-06-25 11:26:12 -0400 (Thu, 25 Jun 2015) | Matlab: more fixes to plotspec.m 
 r22987 | randy.mcdermott | 2015-06-25 10:19:14 -0400 (Thu, 25 Jun 2015) | Matlab: fix file path in plotspec.m 
 r22986 | mcgratta | 2015-06-25 08:25:59 -0400 (Thu, 25 Jun 2015) | FDS Source: Use GAUGE_EMISSIVITY only when specified. 
 r22985 | gforney | 2015-06-25 08:00:29 -0400 (Thu, 25 Jun 2015) | FDS vv: add a debug version of firebot 
 r22983 | fds.firebot | 2015-06-24 21:56:49 -0400 (Wed, 24 Jun 2015) | Firebot: Bump SVN revision of FDS guides and FDS source 
 r22982 | gforney | 2015-06-24 17:43:44 -0400 (Wed, 24 Jun 2015) | vv: rename copy file 
 r22981 | mcgratta | 2015-06-24 17:32:12 -0400 (Wed, 24 Jun 2015) | FDS User Guide: Add GAUGE_EMISSIVITY. 
 r22980 | mcgratta | 2015-06-24 17:26:55 -0400 (Wed, 24 Jun 2015) | FDS Source: Add GAUGE_EMISSIVITY to PROPERTY namelist. 
 r22979 | randy.mcdermott | 2015-06-24 11:01:30 -0400 (Wed, 24 Jun 2015) | Matlab: fix _git issues with Purdue flame scripts; addresses firebot warning 22974 
 r22978 | randy.mcdermott | 2015-06-24 10:22:25 -0400 (Wed, 24 Jun 2015) | FDS Source: add IJK to _uvw files for PERIODIC_TEST 2; addresses firebot failure 22974 
 r22977 | Topi.Sikanen | 2015-06-24 03:59:46 -0400 (Wed, 24 Jun 2015) | FDS Validation: Updates to Pool Fire cases  
 r22975 | fds.firebot | 2015-06-23 21:59:30 -0400 (Tue, 23 Jun 2015) | Firebot: Fix SVN properties throughout repository 
 r22974 | fds.firebot | 2015-06-23 21:56:56 -0400 (Tue, 23 Jun 2015) | Firebot: Bump SVN revision of FDS guides and FDS source 
 r22973 | randy.mcdermott | 2015-06-23 17:12:16 -0400 (Tue, 23 Jun 2015) | Matlab: addverstr to yplus.m 
 r22972 | randy.mcdermott | 2015-06-23 17:10:03 -0400 (Tue, 23 Jun 2015) | Matlab: addverstr to water_ice_water.m 
 r22971 | randy.mcdermott | 2015-06-23 17:08:45 -0400 (Tue, 23 Jun 2015) | Matlab: addverstr to VTT_Sprays.m 
 r22970 | randy.mcdermott | 2015-06-23 17:05:29 -0400 (Tue, 23 Jun 2015) | Matlab: addverstr to velocity_signal.m 
 r22969 | randy.mcdermott | 2015-06-23 17:03:54 -0400 (Tue, 23 Jun 2015) | Matlab: addverstr to umd_gas_burner.m 
 r22968 | randy.mcdermott | 2015-06-23 17:00:20 -0400 (Tue, 23 Jun 2015) | Matlab: addverstr to terminal_velocity_convergence.m 
 r22967 | randy.mcdermott | 2015-06-23 16:59:00 -0400 (Tue, 23 Jun 2015) | Matlab: addverstr to synthetic_eddy_method.m 
 r22966 | randy.mcdermott | 2015-06-23 16:56:24 -0400 (Tue, 23 Jun 2015) | Matlab: addverstr to shunn_mms_error.m 
 r22965 | randy.mcdermott | 2015-06-23 16:53:59 -0400 (Tue, 23 Jun 2015) | Matlab: addverstr to scarc2d.m 
