Time,Soot concentration (kg/m3)
0,0.0001
100,0.000098
200,0.0000961
300,0.0000942
400,0.0000924
500,0.0000906
600,0.0000888
700,0.0000871
800,0.0000854
900,0.0000837
1000,0.0000821
1100,0.0000805
1200,0.0000789
1300,0.0000774
1400,0.0000758
1500,0.0000744
1600,0.0000729
1700,0.0000715
1800,0.0000701
1900,0.0000687
2000,0.0000674
2100,0.0000661
2200,0.0000648
2300,0.0000635
2400,0.0000623
2500,0.000061
2600,0.0000598
2700,0.0000587
2800,0.0000575
2900,0.0000564
3000,0.0000553
3100,0.0000542
3200,0.0000532
3300,0.0000521
3400,0.0000511
3500,0.0000501
3600,0.0000491
3700,0.0000482
3800,0.0000472
3900,0.0000463
4000,0.0000454
4100,0.0000445
4200,0.0000436
4300,0.0000428
4400,0.0000419
4500,0.0000411
4600,0.0000403
4700,0.0000395
4800,0.0000388
4900,0.000038
5000,0.0000373
5100,0.0000365
5200,0.0000358
5300,0.0000351
5400,0.0000344
5500,0.0000338
5600,0.0000331
5700,0.0000324
5800,0.0000318
5900,0.0000312
6000,0.0000306
6100,0.00003
6200,0.0000294
6300,0.0000288
6400,0.0000283
6500,0.0000277
6600,0.0000272
6700,0.0000266
6800,0.0000261
6900,0.0000256
7000,0.0000251
7100,0.0000246
7200,0.0000241
7300,0.0000237
7400,0.0000232
7500,0.0000227
7600,0.0000223
7700,0.0000219
7800,0.0000214
7900,0.000021
8000,0.0000206
8100,0.0000202
8200,0.0000198
8300,0.0000194
8400,0.000019
8500,0.0000187
8600,0.0000183
8700,0.0000179
8800,0.0000176
8900,0.0000172
9000,0.0000169
9100,0.0000166
9200,0.0000163
9300,0.0000159
9400,0.0000156
9500,0.0000153
9600,0.000015
9700,0.0000147
9800,0.0000144
9900,0.0000142
10000,0.0000139
10100,0.0000136
10200,0.0000133
10300,0.0000131
10400,0.0000128
10500,0.0000126
10600,0.0000123
10700,0.0000121
10800,0.0000119
10900,0.0000116
11000,0.0000114
11100,0.0000112
11200,0.000011
11300,0.0000107
11400,0.0000105
11500,0.0000103
11600,0.0000101
11700,0.0000099
11800,0.0000097
11900,0.0000095
12000,0.0000094
12100,0.0000092
12200,0.000009
12300,0.0000088
12400,0.0000086
12500,0.0000085
12600,0.0000083
12700,0.0000081
12800,0.000008
12900,0.0000078
13000,0.0000077
13100,0.0000075
13200,0.0000074
13300,0.0000072
13400,0.0000071
13500,0.000007
13600,0.0000068
13700,0.0000067
13800,0.0000066
13900,0.0000064
14000,0.0000063
14100,0.0000062
14200,0.0000061
14300,0.0000059
14400,0.0000058
14500,0.0000057
14600,0.0000056
14700,0.0000055
14800,0.0000054
14900,0.0000053
15000,0.0000052
15100,0.0000051
15200,0.000005
15300,0.0000049
15400,0.0000048
15500,0.0000047
15600,0.0000046
15700,0.0000045
15800,0.0000044
15900,0.0000043
16000,0.0000042
16100,0.0000042
16200,0.0000041
16300,0.000004
16400,0.0000039
16500,0.0000038
16600,0.0000038
16700,0.0000037
16800,0.0000036
16900,0.0000036
17000,0.0000035
17100,0.0000034
17200,0.0000033
17300,0.0000033
17400,0.0000032
17500,0.0000032
17600,0.0000031
17700,0.000003
17800,0.000003
17900,0.0000029
18000,0.0000029
18100,0.0000028
18200,0.0000027
18300,0.0000027
18400,0.0000026
18500,0.0000026
18600,0.0000025
18700,0.0000025
18800,0.0000024
18900,0.0000024
19000,0.0000023
19100,0.0000023
19200,0.0000023
19300,0.0000022
19400,0.0000022
19500,0.0000021
19600,0.0000021
19700,0.000002
19800,0.000002
19900,0.000002
20000,0.0000019
