Time, CH4, O2, CO2, H2O
0,0.4,0.1,0,0
0.05,0.391736,0.067032,0.022671,0.018561
0.1,0.386196,0.044933,0.037868,0.031003
0.15,0.382483,0.030119,0.048055,0.039343
0.2,0.379994,0.02019,0.054884,0.044933
0.25,0.378325,0.013534,0.059461,0.048681
0.3,0.377207,0.009072,0.062529,0.051192
0.35,0.376457,0.006081,0.064586,0.052876
0.4,0.375955,0.004076,0.065964,0.054005
0.45,0.375618,0.002732,0.066888,0.054762
0.5,0.375392,0.001832,0.067508,0.055269
0.55,0.37524,0.001228,0.067923,0.055609
0.6,0.375139,0.000823,0.068201,0.055837
0.65,0.375071,0.000552,0.068388,0.055989
0.7,0.375025,0.00037,0.068513,0.056092
0.75,0.374995,0.000248,0.068597,0.05616
0.8,0.374974,0.000166,0.068653,0.056206
0.85,0.374961,0.000111,0.068691,0.056237
0.9,0.374951,0.000075,0.068716,0.056258
0.95,0.374945,0.00005,0.068733,0.056272
1,0.374941,0.000034,0.068744,0.056281
