s, kg, kg, kg, kg, kg
Time, depo_all, depo_none, depo_gravitational, depo_thermophoretic, depo_turbulent
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.510000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3.010000, 0.000001, 0.000000, 0.000000, 0.000001, 0.000000
3.510000, 0.000001, 0.000000, 0.000000, 0.000001, 0.000000
4.010000, 0.000002, 0.000000, 0.000000, 0.000002, 0.000000
4.510000, 0.000002, 0.000000, 0.000000, 0.000002, 0.000000
5.010000, 0.000003, 0.000000, 0.000000, 0.000003, 0.000000
5.510000, 0.000004, 0.000000, 0.000000, 0.000004, 0.000000
6.010000, 0.000004, 0.000000, 0.000000, 0.000004, 0.000000
6.510000, 0.000005, 0.000000, 0.000000, 0.000005, 0.000000
7.010000, 0.000006, 0.000000, 0.000000, 0.000006, 0.000000
7.510000, 0.000006, 0.000000, 0.000000, 0.000006, 0.000000
8.010000, 0.000007, 0.000000, 0.000000, 0.000007, 0.000000
8.510000, 0.000007, 0.000000, 0.000000, 0.000007, 0.000000
9.010000, 0.000008, 0.000000, 0.000000, 0.000008, 0.000000
9.510000, 0.000008, 0.000000, 0.000000, 0.000008, 0.000000
10.010000, 0.000009, 0.000000, 0.000000, 0.000009, 0.000000
