s,C
Time,Temp
0.00E+00,3.80E+02
1.09E+00,3.80E+02
2.09E+00,3.80E+02
3.09E+00,3.80E+02
4.09E+00,3.80E+02
5.09E+00,3.80E+02
6.09E+00,3.80E+02
7.09E+00,3.80E+02
8.01E+00,3.80E+02
9.01E+00,3.80E+02
1.01E+01,3.80E+02
1.10E+01,3.80E+02
1.20E+01,3.80E+02
1.30E+01,3.80E+02
1.40E+01,3.80E+02
1.50E+01,3.80E+02
1.60E+01,3.80E+02
1.70E+01,3.80E+02
1.81E+01,3.80E+02
1.90E+01,3.80E+02
2.00E+01,3.80E+02
2.10E+01,3.80E+02
2.20E+01,3.80E+02
2.30E+01,3.80E+02
2.40E+01,3.80E+02
2.50E+01,3.80E+02
2.61E+01,3.80E+02
2.70E+01,3.80E+02
2.80E+01,3.80E+02
2.90E+01,3.80E+02
3.00E+01,3.80E+02
3.10E+01,3.80E+02
3.20E+01,3.80E+02
3.31E+01,3.80E+02
3.40E+01,3.80E+02
3.50E+01,3.80E+02
3.60E+01,3.80E+02
3.70E+01,3.80E+02
3.80E+01,3.80E+02
3.90E+01,3.80E+02
4.00E+01,3.80E+02
4.10E+01,3.80E+02
4.20E+01,3.80E+02
4.30E+01,3.80E+02
4.40E+01,3.80E+02
4.51E+01,3.80E+02
4.60E+01,3.80E+02
4.71E+01,3.80E+02
4.80E+01,3.80E+02
4.90E+01,3.80E+02
5.00E+01,3.80E+02
5.10E+01,3.80E+02
5.20E+01,3.80E+02
5.31E+01,3.80E+02
5.40E+01,3.80E+02
5.50E+01,3.80E+02
5.60E+01,3.80E+02
5.70E+01,3.80E+02
5.81E+01,3.80E+02
5.90E+01,3.80E+02
6.00E+01,3.80E+02
6.10E+01,3.80E+02
6.21E+01,3.80E+02
6.30E+01,3.80E+02
6.40E+01,3.80E+02
6.50E+01,3.80E+02
6.60E+01,3.80E+02
6.70E+01,3.80E+02
6.80E+01,3.80E+02
6.90E+01,3.80E+02
7.00E+01,3.80E+02
7.10E+01,3.80E+02
7.20E+01,3.80E+02
7.31E+01,3.80E+02
7.40E+01,3.80E+02
7.50E+01,3.80E+02
7.60E+01,3.80E+02
7.71E+01,3.80E+02
7.81E+01,3.80E+02
7.91E+01,3.80E+02
8.00E+01,3.80E+02
8.10E+01,3.80E+02
8.20E+01,3.80E+02
8.31E+01,3.80E+02
8.40E+01,3.80E+02
8.50E+01,3.80E+02
8.60E+01,3.80E+02
8.71E+01,3.80E+02
8.81E+01,3.80E+02
8.91E+01,3.80E+02
9.00E+01,3.80E+02
9.10E+01,3.80E+02
9.21E+01,3.80E+02
9.31E+01,3.80E+02
9.40E+01,3.80E+02
9.51E+01,3.80E+02
9.60E+01,3.80E+02
9.70E+01,3.80E+02
9.80E+01,3.80E+02
9.90E+01,3.80E+02
1.00E+02,3.80E+02
1.01E+02,3.80E+02
1.02E+02,3.80E+02
1.03E+02,3.80E+02
1.04E+02,3.80E+02
1.05E+02,3.80E+02
1.06E+02,3.80E+02
1.07E+02,3.80E+02
1.08E+02,3.80E+02
